Id,Items,ImageURL,Categories,Ratio
1,Avalon,images/1.png,Sword,2 Fin
2,Authentic Triple Katana,images/2.png,Sword,2 Fin
3,Aquatic Anchor,images/3.png,Sword,2 Fin
4,Daybreak Cleaver,images/4.png,Sword,1 Fin
5,Sweet Lozenge,images/5.png,Sword,5 Fin
6,Scepters of Falme,images/6.png,Sword,2 Fin
7,Phoenix Blade,images/7.png,Sword,2 Fin
8,Long,images/8.png,Sword,2 Fin
9,Acroscythe,images/9.png,Sword,8 Fin
10,Ethereal,images/10.png,Sword,8 Fin
11,Pumpkin Smasher,images/11.png,Sword,15 Fin
12,Tomoe taiko,images/12.png,Accessory,2 Fin
13,Hydra mark,images/13.png,Accessory,2 Fin
14,Lucidus Coat,images/14.png,Accessory,1 Fin
15,Tengu Mask,images/15.png,Accessory,1 Fin
16,Oni Mask,images/16.png,Accessory,1 Fin
17,Dragon Necklace,images/17.png,Accessory,2 Fin
18,Dark Beard Hat,images/18.png,Accessory,1 Fin
19,Inferno Cloak,images/19.png,Accessory,5 Fin
20,Floffy coat,images/20.png,Accessory,2 Fin
21,Hallow Shawl,images/21.png,Accessory,1 Fin
22,Hallow Lamp,images/22.png,Accessory,1 Fin
23,Pumpkin Head,images/23.png,Accessory,1 Fin
24,Green Dryadalis,images/24.png,Accessory,1 Fin
25,Nativitatis,images/25.png,Accessory,1 Fin
26,Cervus,images/26.png,Accessory,1 Fin
27,Sea King Skull,images/27.png,Accessory,2 Fin
28,EXP Crown,images/28.png,Accessory,8 Fin
29,Night Necklace,images/29.png,Accessory,8 Fin
30,Crustacean Armor,images/30.png,Accessory,280 Fin +
31,Abyss Sentinel Armor,images/31.png,Accessory,2 Fin
32,Oceanic Tentacle,images/32.png,Accessory,1 Fin
33,Shadow Cloak,images/33.png,Accessory,1 Fin
34,Sentinel Armor,images/34.png,Accessory,1 Fin
35,Water Kimono,images/35.png,Accessory,20+ Fin
36,Feather,images/36.png,Material,300:1 Fin
37,Leather,images/37.png,Material,300:1 Fin
38,Bone,images/38.png,Material,300:1 Fin
39,Log,images/39.png,Material,1000:1 Fin
40,Carrots,images/40.png,Material,1000:1 Fin
41,Scraps,images/41.png,Material,1000:1 Fin
42,Irons,images/42.png,Material,500:1 Fin
43,Undead’s orb,images/43.png,Material,300:1 Fin
44,Fresh fish,images/44.png,Material,250:1 Fin
45,Bread Crumbs,images/45.png,Material,300:1 Fin
46,Gunpowder,images/46.png,Material,130:1 fin
47,Thief’s Rags,images/47.png,Material,100:1 Fin
48,Sk blood,images/48.png,Material,5:1 Fin
49,Magma crystal,images/49.png,Material,25:1 Fin
50,Ice crystal,images/50.png,Material,25:1 Fin
51,Vampire’s Vital Fluid,images/51.png,Material,20:1 Fin
52,Dragon Scales,images/52.png,Material,10:1 Fin
53,Shark’s Canine,images/53.png,Material,10:1 Fin
54,Twilight’s Orb,images/54.png,Material,5:1 Fin
55,Sea’s Wraith,images/55.png,Material,2:1 Fin
56,Dragon Orbs,images/56.png,Material,3:1 Fin
57,Samurai’s Bandage,images/57.png,Material,3:1 Fin
58,Essence of Fire,images/58.png,Material,3:1 Fin
59,Lost Rubies,images/59.png,Material,3:1 Fin
60,Hydra Tail,images/60.png,Material,7-8 Fin
61,Phoenix Tear,images/61.png,Material,6-7 Fin
62,Sea artifact,images/62.png,Material,100:1 Fin
63,Shark Fin,images/63.png,Material,30:1 Fin
64,Coral,images/64.png,Material,20:1 Fin
65,Pearl,images/65.png,Material,30:1 Fin
66,Aqua gem,images/66.png,Material,3:2 Fin
67,Gale Stone,images/67.png,Stone,12 Fin
68,Blaze Stone,images/68.png,Stone,12 Fin
69,Tempestas Stone,images/69.png,Stone,8 Fin
70,Bloodthirsty Stone,images/70.png,Stone,12 Fin
71,Abyss Stone,images/71.png,Stone,7 Fin
72,Glacier Stone,images/72.png,Stone,8 Fin
73,Disillusion Stone,images/73.png,Stone,1 Fin
74,Conqueror Haki,images/74.png,GamePass,180+ Fin
75,Fruit Position,images/75.png,GamePass,180+ Fin
76,Night Blade,images/76.png,GamePass,100+ Fin
77,Quest Money X2,images/77.png,GamePass,80+ Fin
78,Item Drop X2,images/78.png,GamePass,80+ Fin
79,Coffin Boat,images/79.png,GamePass,40+ Fin
80,Legacy Pose,images/80.png,GamePass,30+ Fin
81,12hours 2x Exp ,images/81.png,GamePass,5+ Fin
82,Race Reroll,images/82.png,GamePass,5 Fin
83,Stat Reset,images/83.png,GamePass,2 Fin
84,Perm Spin,images/84.png,GamePass,2+ Fin
85,Perm Bomb,images/85.png,GamePass,5+ Fin
86,Perm Human,images/86.png,GamePass,20+ Fin
87,Perm Spike,images/87.png,GamePass,20+ Fin
88,Perm Paw,images/88.png,GamePass,40+ Fin
89,Perm Girraffe,images/89.png,GamePass,40+ Fin
90,Perm Barrier,images/90.png,GamePass,50+ Fin
91,Perm Wolf,images/91.png,GamePass,60+ Fin
92,Perm Love,images/92.png,GamePass,60+ Fin
93,Perm Smoke,images/93.png,GamePass,80+ Fin
94,Perm Shadow,images/94.png,GamePass,80+ Fin
95,Perm String,images/95.png,GamePass,80+ Fin
96,Perm Rubber,images/96.png,GamePass,50+ Fin
97,Perm Sand,images/97.png,GamePass,80+ Fin
98,Perm Leopard,images/98.png,GamePass,100+ Fin
99,Perm Buddha,images/99.png,GamePass,100+ Fin
100,Perm Dark,images/100.png,GamePass,100+ Fin
101,Perm Venom,images/101.png,GamePass,100+ Fin
102,Perm Gravity,images/102.png,GamePass,140+ Fin
103,Perm Allosaurus,images/103.png,GamePass,120+ Fin
104,Perm Brachio,images/104.png,GamePass,120+ Fin
105,Perm OP,images/105.png,GamePass,120+ Fin
106,Perm Mammoth,images/106.png,GamePass,140+ Fin
107,Perm Spino,images/107.png,GamePass,140+ Fin
108,Perm Ice,images/108.png,GamePass,40+ Fin
109,Perm Flame,images/109.png,GamePass,140+ Fin
110,Perm Magma,images/110.png,GamePass,100+ Fin
111,Perm Light,images/111.png,GamePass,100+ Fin
112,Perm Gas,images/112.png,GamePass,100+ Fin
113,Perm Snow,images/113.png,GamePass,100+ Fin
114,Perm Rumble,images/114.png,GamePass,100+ Fin
115,Perm Quake,images/115.png,GamePass,120+ Fin
116,Perm Gold,images/116.png,GamePass,100+ Fin
117,Perm Spirit,images/117.png,GamePass,120+ Fin
118,Perm Magnet,images/118.png,GamePass,120+ Fin
119,Perm Phoenix,images/119.png,GamePass,180+ Fin
120,Perm Gate,images/120.png,GamePass,140+ Fin
121,Perm Dough,images/121.png,GamePass,180+ Fin
122,Perm Toy,images/122.png,GamePass,180+ Fin
123,Perm Dragon,images/123.png,GamePass,250+ Fin
